id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
45,3271,87.412863,49.069354,0.827577,3391,64.535003,0.671388,226.793,0.799155,1.781415,Jasmine
7,3556,84.323564,55.413061,0.753762,3636,67.287739,0.750211,227.007,0.867148,1.521727,Jasmine
38,3277,87.384504,49.647465,0.822925,3408,64.594164,0.630192,227.562,0.795219,1.7601,Jasmine
14,3265,83.378487,52.764865,0.774286,3420,64.475787,0.575838,227.853,0.790285,1.58019,Jasmine
26,3606,88.779904,52.588617,0.805682,3658,67.759146,0.593092,227.906,0.872417,1.688196,Jasmine
47,3494,90.075276,50.525192,0.827869,3580,66.698568,0.725498,227.934,0.845113,1.782779,Jasmine
60,3466,91.053308,49.753422,0.837511,3539,66.430778,0.84951,228.007,0.837803,1.830091,Jasmine
504,2947,98.253577,39.843558,0.914087,3096,61.255505,0.501702,228.483,0.709385,2.465984,Jasmine
24,3505,88.001794,52.277039,0.804432,3586,66.803477,0.594773,229.044,0.839576,1.683374,Jasmine
1043,2880,98.986536,37.774859,0.924321,3003,60.555181,0.607211,229.58,0.686648,2.620434,Jasmine
37,3335,87.978305,50.23674,0.820941,3459,65.163286,0.625,229.787,0.793697,1.751274,Jasmine
39,3446,89.402123,50.790597,0.82295,3533,66.238837,0.808351,229.852,0.81965,1.76021,Jasmine
5,3693,85.124785,56.374021,0.749282,3802,68.571668,0.769375,230.332,0.874743,1.51,Jasmine
239,3215,96.035133,44.119355,0.888225,3294,63.980193,0.843168,230.728,0.75891,2.176712,Jasmine
83,3663,94.001431,49.885573,0.847566,3738,68.29258,0.753704,230.804,0.864092,1.884341,Jasmine
40,3697,91.876183,52.094622,0.823712,3772,68.608794,0.849885,231.291,0.868444,1.76364,Jasmine
20,3552,88.029378,53.176037,0.79693,3654,67.249884,0.623705,232.122,0.828419,1.655433,Jasmine
586,3216,101.897618,40.625354,0.917087,3321,63.990143,0.78439,232.201,0.749545,2.508227,Jasmine
43,3415,89.495798,50.318242,0.826973,3534,65.940223,0.687399,232.838,0.791576,1.778595,Jasmine
33,3426,88.922106,51.488388,0.815308,3548,66.046337,0.563209,232.94,0.793431,1.727032,Jasmine
223,3302,96.297438,45.241139,0.88277,3423,64.840088,0.53761,233.736,0.759514,2.128537,Jasmine
46,3657,92.436906,51.864299,0.827763,3725,68.236625,0.632152,234.047,0.838936,1.782284,Jasmine
95,3243,91.130335,47.692551,0.852121,3431,64.258197,0.665094,234.302,0.742343,1.910788,Jasmine
400,3136,99.320513,41.436419,0.908815,3270,63.189233,0.73477,234.781,0.714924,2.396938,Jasmine
66,3733,94.539738,51.364645,0.83953,3802,68.942028,0.619071,234.817,0.850763,1.840561,Jasmine
35,3636,91.400386,52.302815,0.820087,3723,68.040422,0.755297,235.385,0.824662,1.747523,Jasmine
8,3788,86.952411,56.444769,0.760664,3866,69.448048,0.800676,235.476,0.858473,1.540487,Jasmine
42,3670,92.21294,51.851646,0.826931,3772,68.357802,0.736948,235.534,0.831321,1.778399,Jasmine
2197,2865,102.961066,37.495427,0.931332,3082,60.397279,0.708808,235.682,0.648159,2.745963,Jasmine
98,3554,94.599434,49.348379,0.853156,3659,67.268814,0.813086,235.807,0.803182,1.916971,Jasmine
106,3609,95.461211,49.316156,0.856221,3684,67.787326,0.699148,235.956,0.814582,1.935699,Jasmine
110,3448,93.763612,48.160814,0.858005,3554,66.258056,0.563399,236.521,0.774529,1.946886,Jasmine
56,3900,95.170126,52.513063,0.833989,3980,70.467256,0.782818,236.767,0.874243,1.812313,Jasmine
87,3730,95.978946,50.813908,0.848355,3787,68.91432,0.568598,236.813,0.83581,1.888832,Jasmine
82,3797,96.142112,51.055189,0.847348,3872,69.530501,0.711582,237.412,0.846535,1.883102,Jasmine
116,3536,95.695488,48.621331,0.861308,3621,67.098249,0.715789,237.568,0.787311,1.968179,Jasmine
265,3379,99.014789,44.631551,0.892647,3491,65.591741,0.653578,237.593,0.752196,2.218493,Jasmine
34,3938,94.269398,54.302169,0.817427,4009,70.809726,0.841453,238.395,0.870746,1.736015,Jasmine
134,3661,97.692595,48.902359,0.865694,3732,68.273933,0.596448,238.547,0.808466,1.997707,Jasmine
58,3746,93.998885,51.715687,0.83505,3847,69.061967,0.635346,239.34,0.821764,1.817609,Jasmine
74,3668,94.007878,50.705063,0.842069,3764,68.339174,0.677378,239.356,0.804545,1.854014,Jasmine
212,3716,100.698893,47.738875,0.880484,3786,68.784869,0.635431,239.364,0.815019,2.109369,Jasmine
192,3467,97.973806,47.133155,0.876677,3598,66.44036,0.614716,240.017,0.756275,2.07866,Jasmine
67,3871,96.335494,52.31805,0.83968,3964,70.204774,0.593257,240.094,0.84386,1.841343,Jasmine
202,3503,98.372477,46.837917,0.879376,3592,66.784415,0.514693,240.295,0.762361,2.100274,Jasmine
29,3867,92.479947,54.379377,0.808852,3960,70.168492,0.781212,240.315,0.841438,1.700644,Jasmine
48,3899,95.376228,53.326678,0.829087,3977,70.458222,0.642128,240.44,0.847519,1.788527,Jasmine
3870,3112,107.815754,37.717439,0.936812,3242,62.946973,0.733962,240.488,0.67618,2.858512,Jasmine
215,3709,100.735723,47.6494,0.881055,3788,68.720051,0.772708,240.529,0.805623,2.114103,Jasmine
84,3502,93.535607,49.583145,0.847936,3653,66.774882,0.645054,240.546,0.760553,1.88644,Jasmine
127,3495,96.35269,48.558497,0.863723,3656,66.708112,0.713994,240.603,0.758674,1.98426,Jasmine
31,3987,94.176206,54.948028,0.812142,4043,71.248902,0.594365,240.915,0.863234,1.713914,Jasmine
174,3821,100.548049,48.735524,0.874681,3898,69.749898,0.820662,240.926,0.827217,2.063137,Jasmine
168,3673,99.217521,48.337707,0.873296,3760,68.385736,0.797092,241.24,0.793108,2.052591,Jasmine
71,3850,96.40313,52.02508,0.841882,3942,70.014086,0.671551,241.481,0.829669,1.853013,Jasmine
144,3641,98.218981,48.839391,0.867607,3726,68.087188,0.554946,241.542,0.784233,2.011061,Jasmine
70,3931,97.080816,52.432441,0.841607,4003,70.746764,0.577579,242.064,0.843048,1.851541,Jasmine
383,3400,103.290142,43.284979,0.907958,3516,65.795246,0.613054,242.117,0.72885,2.386281,Jasmine
195,3744,100.416753,48.126229,0.87767,3846,69.043529,0.72,242.167,0.802261,2.086529,Jasmine
303,3638,103.752793,45.261657,0.899828,3723,68.059132,0.559951,242.294,0.778731,2.292289,Jasmine
242,3735,102.370989,46.943265,0.888663,3821,68.960494,0.654804,242.407,0.798749,2.180739,Jasmine
44,3860,94.636503,53.139757,0.827467,3942,70.104954,0.815723,242.845,0.822506,1.780898,Jasmine
153,3791,99.934505,49.441305,0.869043,3886,69.475543,0.643852,243.201,0.80544,2.021276,Jasmine
62,3992,97.470849,53.154123,0.838219,4057,71.293564,0.584908,243.28,0.847593,1.83374,Jasmine
125,3982,100.509321,50.663138,0.863666,4058,71.204212,0.60692,243.849,0.841529,1.983875,Jasmine
4150,3176,110.320331,38.376971,0.937543,3332,63.590949,0.456322,243.926,0.670771,2.874649,Jasmine
88,3810,97.325311,51.312373,0.849725,3917,69.649427,0.575181,243.983,0.804296,1.896722,Jasmine
50,3812,95.003648,52.781004,0.831471,3903,69.667705,0.596557,244.123,0.803795,1.799959,Jasmine
32,4038,95.247094,55.219372,0.814795,4126,71.703147,0.636106,244.287,0.850306,1.724885,Jasmine
104,3878,98.86216,51.202208,0.855432,3952,70.268222,0.824405,244.49,0.815259,1.930818,Jasmine
73,3764,96.235479,51.91358,0.842022,3864,69.227694,0.55763,245.108,0.787308,1.853763,Jasmine
21,3852,92.20829,55.277012,0.80039,4023,70.032269,0.65399,245.517,0.803032,1.668113,Jasmine
193,3860,102.197152,49.125116,0.876891,3948,70.104954,0.614748,245.889,0.802267,2.080344,Jasmine
124,3803,99.472152,50.265038,0.862933,3911,69.585415,0.542743,246.555,0.786156,1.978953,Jasmine
1623,3498,110.098792,40.862266,0.928576,3582,66.736736,0.622863,246.757,0.721923,2.694388,Jasmine
28,3951,94.122631,55.391458,0.808495,4045,70.926507,0.606912,247.032,0.813599,1.699226,Jasmine
899,3472,107.948884,41.611289,0.922719,3602,66.488252,0.54798,247.106,0.714534,2.594221,Jasmine
27,4136,95.743627,56.411011,0.807996,4217,72.568028,0.765926,247.294,0.849891,1.697251,Jasmine
186,3832,101.969802,49.225485,0.875761,3908,69.850225,0.782041,247.69,0.784907,2.071484,Jasmine
85,3866,98.219827,52.02728,0.848184,4003,70.159419,0.774439,247.889,0.790601,1.887852,Jasmine
8550,3135,112.621026,35.711104,0.948395,3214,63.179158,0.449656,248.391,0.638522,3.15367,Jasmine
55,3869,96.60035,53.4247,0.833149,4005,70.186635,0.727256,248.428,0.787785,1.808159,Jasmine
279,3882,106.115835,47.025904,0.896444,3973,70.304452,0.803727,249.213,0.78546,2.25654,Jasmine
331,3571,104.327635,44.802734,0.903094,3688,67.429507,0.546693,249.248,0.722331,2.3286,Jasmine
65,4042,98.375937,53.456862,0.839478,4144,71.738652,0.749351,249.61,0.815234,1.840286,Jasmine
983,3574,109.746835,42.055234,0.923664,3667,67.457825,0.561068,249.826,0.719597,2.609588,Jasmine
77,4196,100.750102,54.055456,0.843881,4280,73.092497,0.820332,249.882,0.844453,1.863829,Jasmine
133,3772,99.60333,49.891664,0.865503,3896,69.301223,0.643796,250.098,0.757811,1.996392,Jasmine
176,4080,104.272109,50.511916,0.874833,4159,72.075081,0.756957,250.412,0.817636,2.064307,Jasmine
941,3637,110.125854,42.318138,0.92322,3731,68.049778,0.745898,250.743,0.726935,2.602332,Jasmine
6481,3306,113.860477,37.768522,0.943382,3396,64.879349,0.464,250.871,0.660103,3.014692,Jasmine
407,3753,107.89744,44.940785,0.909129,3848,69.126464,0.586223,250.912,0.74911,2.40088,Jasmine
86,4181,101.110525,53.534449,0.848332,4281,72.961733,0.642243,251.05,0.833623,1.8887,Jasmine
69,3886,97.775628,52.847716,0.841344,4032,70.340663,0.733069,251.165,0.774095,1.850139,Jasmine
283,3662,103.894842,45.882867,0.897198,3773,68.283257,0.796087,251.355,0.728372,2.264349,Jasmine
538,3530,106.351054,42.835382,0.9153,3664,67.041298,0.692157,251.388,0.701933,2.482785,Jasmine
129,4039,102.295352,51.495291,0.864055,4137,71.712025,0.553591,251.807,0.800476,1.986499,Jasmine
101,4019,99.88402,51.997388,0.853814,4107,71.534256,0.829515,252.331,0.793207,1.920943,Jasmine
23,3910,92.589323,55.111403,0.80356,4067,70.557541,0.62281,252.523,0.770521,1.680039,Jasmine
163,4098,104.33787,51.016985,0.872307,4223,72.233895,0.627181,252.837,0.805565,2.045159,Jasmine
408,3675,107.606047,44.81011,0.909169,3802,68.404352,0.542996,252.87,0.722225,2.401379,Jasmine
139,3957,102.320702,51.077112,0.866495,4109,70.980341,0.603661,253.068,0.776428,2.003259,Jasmine
68,4126,99.492266,53.874809,0.840702,4265,72.480248,0.622886,253.076,0.809538,1.846731,Jasmine
8272,3197,115.15164,36.770882,0.947645,3379,63.800837,0.474896,253.285,0.62623,3.131598,Jasmine
100,3972,99.936027,52.074624,0.853508,4153,71.114749,0.611077,253.449,0.77703,1.919093,Jasmine
114,4083,101.986251,52.076428,0.859805,4204,72.101575,0.55213,253.493,0.798468,1.958396,Jasmine
91,3951,100.022328,52.476331,0.85132,4085,70.926507,0.563784,253.792,0.770834,1.906047,Jasmine
112,4105,101.842276,52.147372,0.858961,4241,72.295562,0.83844,254.662,0.795417,1.95297,Jasmine
61,4294,101.45421,55.344563,0.838103,4375,73.941129,0.596389,254.699,0.831797,1.833138,Jasmine
138,4199,103.957982,51.93962,0.866244,4292,73.118622,0.714116,254.771,0.812935,2.001516,Jasmine
118,3829,99.793948,50.577545,0.862052,4031,69.822877,0.723545,254.977,0.740105,1.973088,Jasmine
220,4203,107.299296,50.527183,0.882187,4281,73.15344,0.668948,255.102,0.811599,2.123595,Jasmine
218,4148,106.969394,50.40675,0.882013,4232,72.673225,0.813333,255.109,0.800935,2.122124,Jasmine
955,3674,112.062467,43.032084,0.923333,3741,68.395044,0.817534,255.447,0.707534,2.604161,Jasmine
382,3865,109.222189,45.783989,0.907902,3985,70.150345,0.585606,255.508,0.743961,2.385598,Jasmine
1102,3654,111.460431,42.351192,0.925,3777,68.208631,0.520513,255.65,0.702565,2.631813,Jasmine
245,4118,107.818279,49.341171,0.889141,4217,72.409947,0.693733,255.689,0.791539,2.185158,Jasmine
123,4126,103.523291,52.313784,0.862924,4258,72.480248,0.742754,255.796,0.792413,1.978891,Jasmine
464,3602,107.780575,44.123138,0.912364,3737,67.721554,0.555093,255.912,0.69115,2.442722,Jasmine
167,4076,104.174444,50.80784,0.873001,4182,72.039742,0.617576,255.914,0.782089,2.050362,Jasmine
207,4107,106.29231,50.496475,0.879947,4184,72.313172,0.536582,256.199,0.786284,2.104945,Jasmine
326,3799,107.490128,46.238929,0.902748,3923,69.54881,0.526104,256.222,0.727187,2.324667,Jasmine
818,3749,112.264873,43.583273,0.921567,3840,69.089616,0.53496,256.411,0.716559,2.575871,Jasmine
128,4371,106.036504,53.38324,0.864029,4460,74.60114,0.623716,256.509,0.834806,1.986326,Jasmine
141,3937,102.474901,51.070676,0.866963,4133,70.800735,0.662795,256.524,0.751829,2.006531,Jasmine
121,4319,105.337359,53.283239,0.862631,4394,74.156062,0.795103,256.647,0.823988,1.976932,Jasmine
137,4194,104.666691,52.303363,0.866191,4285,73.075075,0.547806,256.711,0.799741,2.001147,Jasmine
81,4108,101.315742,53.872843,0.846913,4253,72.321975,0.589468,256.915,0.782098,1.880646,Jasmine
113,3992,101.58104,51.873254,0.859783,4141,71.293564,0.791435,257.06,0.759157,1.958255,Jasmine
109,4355,104.81044,53.847246,0.857935,4432,74.464476,0.57728,257.1,0.82793,1.94644,Jasmine
64,4399,102.44856,55.731542,0.839088,4496,74.8397,0.755842,257.268,0.835203,1.838251,Jasmine
317,4019,110.14182,47.540176,0.902052,4122,71.534256,0.552972,257.486,0.761764,2.316816,Jasmine
15,4301,94.915392,59.82282,0.776372,4427,74.001374,0.80123,257.607,0.814449,1.586608,Jasmine
181,4173,105.912783,51.190046,0.875442,4293,72.891897,0.735849,257.666,0.789849,2.069011,Jasmine
2283,3761,115.32937,41.921419,0.931597,3840,69.200101,0.497948,257.769,0.711298,2.751085,Jasmine
1313,3822,114.083257,42.897617,0.926611,3917,69.759025,0.551515,257.998,0.721552,2.659431,Jasmine
727,3978,113.926555,44.652416,0.919991,4070,71.16844,0.786166,258.392,0.748715,2.551409,Jasmine
250,4035,107.311728,48.930802,0.889996,4150,71.676506,0.584698,258.503,0.758791,2.193132,Jasmine
687,3691,110.473141,43.457543,0.919377,3827,68.553097,0.505755,259.158,0.690597,2.542094,Jasmine
18,4577,98.358549,60.75333,0.786436,4652,76.338833,0.591726,259.184,0.856198,1.618982,Jasmine
199,4298,108.069156,51.532722,0.878985,4386,73.975561,0.598941,259.272,0.803461,2.097098,Jasmine
151,4296,106.25667,52.681679,0.868439,4390,73.958347,0.850693,259.409,0.80224,2.016957,Jasmine
150,4234,105.640095,52.432337,0.868134,4329,73.422723,0.677007,259.741,0.788642,2.014789,Jasmine
221,3910,104.338814,49.104372,0.882334,4075,70.557541,0.610938,259.808,0.727917,2.124838,Jasmine
10932,3257,121.570563,34.409894,0.959107,3320,64.396748,0.425418,259.896,0.605938,3.533012,Jasmine
644,4014,114.385801,45.211556,0.918571,4108,71.489744,0.669893,260.055,0.745859,2.530012,Jasmine
502,3780,110.526367,44.833702,0.914034,3922,69.374675,0.564179,260.098,0.702146,2.465252,Jasmine
225,4347,109.355705,51.284169,0.883216,4420,74.39605,0.570248,260.209,0.80678,2.132348,Jasmine
252,4176,109.348294,49.837688,0.890098,4277,72.918093,0.596231,260.346,0.774227,2.194088,Jasmine
227,4170,107.627246,50.442822,0.883368,4280,72.865691,0.626502,260.354,0.773067,2.133648,Jasmine
345,3992,109.715548,46.811578,0.904411,4120,71.293564,0.611613,260.462,0.739455,2.34377,Jasmine
254,4141,108.70119,49.457349,0.890499,4236,72.611879,0.63318,260.478,0.76696,2.197877,Jasmine
63,4404,102.863475,55.967979,0.839021,4535,74.882221,0.613541,260.512,0.815458,1.837899,Jasmine
623,3956,113.662133,45.049879,0.9181,4019,70.971372,0.807018,260.684,0.731539,2.523029,Jasmine
96,4357,104.168804,54.503692,0.852195,4432,74.481573,0.537968,260.732,0.805395,1.911225,Jasmine
147,4236,105.64516,52.487291,0.86785,4326,73.440062,0.535051,260.888,0.782092,2.012776,Jasmine
142,4245,105.61879,52.601824,0.867157,4365,73.518038,0.562699,260.959,0.783327,2.007892,Jasmine
57,4571,103.825316,57.179416,0.834685,4658,76.28878,0.717582,261.064,0.842805,1.815781,Jasmine
4893,3421,116.129273,39.773817,0.939519,3624,65.998125,0.743696,261.064,0.630767,2.919742,Jasmine
323,3991,109.84866,47.319825,0.90246,4119,71.284634,0.727223,261.089,0.735723,2.321409,Jasmine
1847,3869,116.649654,42.929392,0.929818,3983,70.186635,0.516693,261.093,0.713211,2.717244,Jasmine
164,4398,108.084294,52.780245,0.872662,4496,74.831193,0.597554,261.29,0.809505,2.047817,Jasmine
188,4188,106.581135,51.365134,0.876207,4302,73.022786,0.587542,261.405,0.770174,2.07497,Jasmine
165,4438,108.334509,52.888198,0.872735,4524,75.17072,0.56377,261.474,0.815718,2.048368,Jasmine
261,4249,110.453134,49.99383,0.891701,4325,73.552667,0.833791,261.568,0.780418,2.209335,Jasmine
206,4108,106.330159,50.514911,0.879945,4244,72.321975,0.616447,261.701,0.753754,2.104926,Jasmine
198,4375,109.244828,52.176379,0.878572,4455,74.635267,0.546602,261.724,0.802603,2.09376,Jasmine
506,4041,114.035728,46.231599,0.914134,4093,71.729778,0.886573,261.799,0.740905,2.466619,Jasmine
476,3929,112.428956,45.897752,0.912876,4059,70.728765,0.753115,261.858,0.720046,2.449553,Jasmine
162,4324,107.423463,52.612383,0.871854,4399,74.198974,0.542671,261.978,0.79171,2.04179,Jasmine
297,4023,109.419762,48.034065,0.898492,4120,71.569845,0.840928,262.097,0.735929,2.277962,Jasmine
2264,3764,115.843903,42.125844,0.931538,3868,69.227694,0.490104,262.153,0.688256,2.749949,Jasmine
995,3556,110.71318,42.393467,0.923785,3709,67.287739,0.515288,262.297,0.649509,2.611562,Jasmine
214,4043,106.501062,50.381295,0.881031,4174,71.747526,0.548426,262.446,0.737622,2.113901,Jasmine
762,4004,115.152458,44.968859,0.920596,4079,71.400638,0.563388,262.48,0.730317,2.560716,Jasmine
175,4117,105.540536,51.14682,0.874726,4264,72.401155,0.78419,262.743,0.749425,2.063482,Jasmine
5794,3572,117.433485,39.476739,0.941804,3688,67.438948,0.545427,262.835,0.649763,2.974751,Jasmine
205,4139,106.916206,50.793551,0.879944,4290,72.594342,0.614004,263,0.751958,2.104917,Jasmine
496,4028,113.330737,46.050367,0.913724,4133,71.614306,0.551781,263.151,0.730953,2.461017,Jasmine
119,4388,106.447389,53.890151,0.86238,4470,74.746071,0.5754,263.299,0.795386,1.975266,Jasmine
78,4409,103.699913,55.283551,0.846045,4519,74.924717,0.600109,263.424,0.798434,1.875782,Jasmine
111,4459,106.393272,54.551416,0.858548,4566,75.348359,0.590361,263.639,0.806173,1.95033,Jasmine
158,4379,107.244114,52.819086,0.870305,4495,74.669378,0.643971,263.678,0.791475,2.030405,Jasmine
942,4022,116.091284,44.608228,0.923229,4129,71.560949,0.547658,263.729,0.726668,2.602463,Jasmine
211,4275,108.601889,51.525273,0.880287,4388,73.777361,0.768332,263.752,0.772244,2.10774,Jasmine
9036,3449,120.718619,37.773298,0.949785,3571,66.267663,0.467788,263.911,0.622283,3.195872,Jasmine
230,4506,111.705877,51.973549,0.885168,4593,75.744422,0.772634,263.959,0.812696,2.149283,Jasmine
191,4213,107.180397,51.567155,0.876652,4339,73.240414,0.636021,264.24,0.758236,2.078462,Jasmine
126,4408,106.960574,53.912663,0.863679,4499,74.916219,0.808214,264.28,0.793091,1.98396,Jasmine
9144,3382,118.956906,37.095359,0.950135,3508,65.620851,0.473007,264.308,0.608363,3.206787,Jasmine
235,4466,111.716175,51.645798,0.886726,4551,75.407478,0.576854,264.342,0.803149,2.163122,Jasmine
457,3940,112.120344,46.01282,0.911911,4048,70.827705,0.503772,264.418,0.708148,2.43672,Jasmine
302,4196,111.797759,48.800992,0.899699,4290,73.092497,0.537949,264.64,0.752895,2.290891,Jasmine
89,4623,106.856151,56.293844,0.849978,4720,76.721486,0.789177,264.644,0.829487,1.898185,Jasmine
529,4006,113.680127,45.873488,0.914966,4107,71.418468,0.650325,264.679,0.718591,2.478123,Jasmine
217,4506,111.007921,52.324136,0.881944,4599,75.744422,0.58187,264.923,0.806792,2.121543,Jasmine
103,4608,107.266418,55.61545,0.85509,4698,76.596918,0.745631,264.951,0.824881,1.928716,Jasmine
352,4262,113.529303,48.279202,0.905072,4355,73.6651,0.65029,265.142,0.761844,2.351516,Jasmine
79,4702,106.820834,56.889355,0.846387,4779,77.374236,0.646323,265.151,0.840439,1.877695,Jasmine
107,4493,106.102459,54.731305,0.856688,4635,75.63508,0.671298,265.167,0.802985,1.938606,Jasmine
93,4709,107.830578,56.55003,0.851451,4801,77.431809,0.824405,265.248,0.841074,1.906817,Jasmine
171,4444,109.332026,53.090127,0.874189,4539,75.221516,0.741656,265.364,0.793049,2.059366,Jasmine
185,4158,107.014769,51.667745,0.875725,4314,72.760773,0.6875,265.778,0.739701,2.07121,Jasmine
8460,3621,121.574939,38.637752,0.948154,3732,67.899929,0.687749,265.944,0.643366,3.146532,Jasmine
4481,3677,117.422742,40.546242,0.938492,3821,68.422963,0.633966,266.084,0.652628,2.89602,Jasmine
94,4581,106.597203,55.874881,0.851615,4685,76.372183,0.565625,266.221,0.812242,1.907784,Jasmine
166,4342,107.936161,52.651989,0.872952,4461,74.353252,0.557381,266.484,0.768347,2.049992,Jasmine
132,4733,110.536877,55.388506,0.865397,4819,77.628878,0.606795,266.682,0.836294,1.995665,Jasmine
75,4425,104.266419,56.20162,0.842293,4560,75.060542,0.774685,266.82,0.781064,1.855221,Jasmine
7252,3623,120.370884,39.340911,0.945083,3782,67.918678,0.539137,266.912,0.639061,3.059687,Jasmine
172,4515,109.80557,53.238679,0.8746,4629,75.820027,0.577292,266.923,0.796335,2.062515,Jasmine
741,4068,116.301136,45.503652,0.920281,4166,71.96901,0.527763,267.137,0.716346,2.555864,Jasmine
226,4381,110.494892,51.78753,0.883364,4477,74.686427,0.738039,267.193,0.77114,2.13362,Jasmine
445,4205,114.454366,47.139683,0.911245,4307,73.170843,0.547811,267.246,0.739867,2.427983,Jasmine
2806,3749,116.674995,41.802255,0.933614,3886,69.089616,0.467515,267.354,0.659101,2.791117,Jasmine
277,4460,113.329314,50.340022,0.895931,4552,75.356807,0.5642,267.759,0.78173,2.251277,Jasmine
398,4311,116.060155,48.440345,0.908735,4376,74.087352,0.878899,268.026,0.754109,2.39594,Jasmine
5187,3862,120.681718,41.055998,0.940353,3966,70.123114,0.54858,268.161,0.674887,2.939442,Jasmine
462,4177,115.064996,47.125335,0.912286,4260,72.926823,0.535513,268.297,0.729193,2.44168,Jasmine
105,4404,105.561297,54.665002,0.855471,4534,74.882221,0.594332,268.492,0.767705,1.931058,Jasmine
196,4374,109.078073,52.253585,0.877789,4502,74.626736,0.73686,268.59,0.761919,2.087475,Jasmine
347,4393,115.227478,49.148625,0.904471,4493,74.788644,0.694875,268.805,0.764005,2.34447,Jasmine
59,4607,105.404159,57.716115,0.83676,4727,76.588606,0.590641,268.84,0.801014,1.826252,Jasmine
5245,3708,118.506397,40.278926,0.940466,3827,68.710787,0.49612,268.89,0.644466,2.942144,Jasmine
80,4893,108.98325,58.029991,0.846451,4979,78.930103,0.625224,268.932,0.850159,1.87805,Jasmine
2777,3873,118.689673,42.556314,0.93351,3987,70.222908,0.496538,268.981,0.672689,2.789003,Jasmine
76,4483,104.328088,56.118135,0.843008,4598,75.550863,0.587857,269.116,0.777857,1.85908,Jasmine
371,4433,116.193973,48.959342,0.906894,4564,75.128363,0.617754,269.153,0.76897,2.373275,Jasmine
224,4449,111.255653,52.196047,0.883116,4558,75.263821,0.709569,269.177,0.771607,2.131496,Jasmine
310,4337,113.768944,49.396539,0.900825,4453,74.310429,0.54526,269.387,0.751011,2.303176,Jasmine
145,4715,110.689498,55.036984,0.867625,4832,77.481123,0.794306,269.449,0.816091,2.011184,Jasmine
170,4582,110.202995,53.568186,0.873911,4674,76.380518,0.633223,269.51,0.792712,2.057247,Jasmine
1457,4147,119.578188,44.647787,0.92768,4239,72.664464,0.525203,269.677,0.716566,2.678256,Jasmine
356,4425,115.518323,49.0625,0.905327,4514,75.060542,0.609504,270.072,0.762367,2.354514,Jasmine
180,4575,111.231913,53.768392,0.875405,4671,76.322152,0.545747,270.638,0.784916,2.068723,Jasmine
248,4432,112.36705,51.294914,0.889726,4550,75.119889,0.601194,270.823,0.759344,2.190608,Jasmine
3002,4071,120.851296,43.092754,0.934266,4159,71.995543,0.510214,270.859,0.697308,2.804446,Jasmine
6122,3723,120.839133,40.349923,0.942603,3856,68.849625,0.62931,270.98,0.637131,2.99478,Jasmine
